Classedieta,Territorio,Anno,Totale,Popolazione
fino a 5 anni,Napoli,2006,1,984242
fino a 5 anni,Napoli,2007,1,979690
fino a 5 anni,Napoli,2008,1,979690
fino a 5 anni,Napoli,2010,1,963300
fino a 5 anni,Napoli,2011,1,961257
fino a 5 anni,Napoli,2012,2,958156
fino a 5 anni,Palermo,2005,3,677504
fino a 5 anni,Palermo,2006,1,670820
fino a 5 anni,Palermo,2009,1,661752
fino a 5 anni,Palermo,2010,1,657757
fino a 5 anni,Palermo,2011,2,655979
fino a 5 anni,Palermo,2013,2,655908
fino a 5 anni,Roma,2007,1,2626640
fino a 5 anni,Roma,2008,1,2626640
fino a 5 anni,Roma,2009,2,2710932
fino a 5 anni,Roma,2011,3,2752636
fino a 5 anni,Roma,2012,2,2771584
fino a 5 anni,Torino,2004,1,867857
fino a 5 anni,Torino,2011,1,908550
fino a 5 anni,Torino,2013,2,870702
